Country,Year,Infra_invest_%GDP,Urban_population_%,Internet_users_%,Mobile_subscriptions
ZAF,2014,18.4879638168327,63.1352327065742,49.0,142.604
ZAF,2015,18.6332066638376,63.2096349937231,51.9191,155.138
ZAF,2016,16.9604522948246,63.2750973439347,54.0,143.929
ZAF,2017,16.6107340612402,63.3311078299936,56.1674,153.548
ZAF,2018,16.1705829786619,63.3771545246841,62.4,157.692
ZAF,2019,15.8207933783179,63.4127255007908,69.6969,162.739
ZAF,2020,12.3455441478462,63.4373088310982,72.1128,158.447
ZAF,2021,12.8355522251838,63.4503925883909,74.9686,163.128
ZAF,2022,15.6721092997041,63.4766699210327,75.4556,160.729
ZAF,2023,15.3913174995668,63.5823705163545,75.6592,171.509
ZAF,2024,14.0695508769888,63.6917984858172,,
