Country,Year,GDP_per_capita,Crime_rate,Participation_rate
RUS,2021,12425.029296875,6.76512531955806,62.005
RUS,2022,15619.6142578125,,61.936
RUS,2023,14159.3876953125,,61.689
RUS,2024,14889.0185546875,,61.075
ZAF,2003,4062.21755993786,40.8739335231162,60.587
ZAF,2004,5221.46333731721,38.3597777084255,60.325
ZAF,2005,5836.87663325127,37.4378416502353,60.117
ZAF,2006,6077.38293388876,38.213316830898,59.948
ZAF,2007,6591.85535960564,36.4150322955323,59.802
ZAF,2008,6184.75474328399,35.379325145242,59.688
ZAF,2009,6374.70560042992,32.4134564386112,58.059
ZAF,2010,7973.47195771517,30.3625716702744,54.171
ZAF,2011,8646.05571071635,29.3498251398405,56.169
ZAF,2012,8076.97678479741,30.1454561488805,55.959
ZAF,2013,7331.65467384919,31.132729039924,56.219
ZAF,2014,6856.73137092522,32.026354388996,56.093
ZAF,2015,6112.27382485974,32.9193156001477,57.693
ZAF,2016,5651.20585165749,33.2101800798263,57.965
ZAF,2017,6618.33508255701,35.2840163787516,58.775
ZAF,2018,6914.1780318076,35.8657632618552,58.131
ZAF,2019,6533.71121032856,35.7874756270719,58.327
ZAF,2020,5580.60383075189,32.9775673780065,54.701
ZAF,2021,6828.75624590017,40.9429825270973,55.76
ZAF,2022,6534.24867783397,43.7202551331462,56.942
ZAF,2023,6034.27208964673,,58.528
ZAF,2024,6267.186814093,,58.529
